"PK_Parameters","Parameter","NameLong","Units","Label","ParamR","EcoWatchName","KorCalName","KorExportName","OtherName","WDL_name","HydstraNum","CDECNum","USGSNum","ProbeType","Hydstra_WQS_Full_Column","WQESPrimary","ParamOrder","Param_old","WQESRatingPrimary","WDL_Param"
11,"BGA_RFU","Phycocyanin","RFU",,"BGAR",,"Phycocyanin (RFU)","TAL PC RFU","BGA PC RFU",,,,,"Chlorophyll",,0,11,"BGA_",0,
12,"Depth_m","Depth","m","Depth (m)","Depth",,"Depth (m)","Depth m",,,"630",,,"Depth",26,1,17,"Depth",1,"Depth"
14,"FlowTSL","Flow","CFS","Flow (cfs)",,,,,,,,"11013",,,,0,99,"FlowTSL",0,
15,"FlowOSJ","Flow","CFS","Flow (cfs)",,,,,,,,"13467",,,,0,99,"FlowOSJ",0,
16,"FlowHOL","Flow","CFS","Flow (cfs)",,,,,,,,"13539",,,,0,99,"FlowHOL",0,
17,"FlowORQ","Flow","CFS","Flow (cfs)",,,,,,,,"13544",,,,0,99,"FlowORQ",0,
18,"FlowHLT","Flow","CFS","Flow (cfs)",,,,,,,,"13528",,,,0,99,"FlowHLT",0,
19,"FlowTRN","Flow","CFS","Flow (cfs)",,,,,,,,"13534",,,,0,99,"FlowTRN",0,
20,"FlowVCU","Flow","CFS","Flow (cfs)",,,,,,,,"13460",,,,0,99,"FlowVCU",0,
21,"FlowOBI","Flow","CFS","Flow (cfs)",,,,,,,,"11010",,,,0,99,"FlowOBI",0,
22,"FlowMOK","Flow","CFS","Flow (cfs)",,,,,,"14526",,"20",,,,0,99,"FlowMOK",0,
23,"TempMin_C","Daily Minimum Temperature","°C","Daily Min Temp (°C)",,,,,,,,,"00010_00002",,,0,99,"TempMin",0,
24,"TempMax_C","Daily Maximum Temperature","°C","Daily Max Temp (°C)",,,,,,,,,"00010_00001",,,0,99,"TempMax",0,
25,"Stage","Stage","Ft","Stage (ft)","Stage",,,,,"STAGE_15-MINUTE_DATA","233","1","00065",,,0,99,"Ht",0,"StreamLevel"
27,"FlowFAL","Flow","CFS","Flow (cfs)",,,,,,,,"14521",,,,0,99,"FlowFAL",0,
28,"Velocity","Velocity","FPS","Velocity (fps)","Velocity",,,,,"VELOCITY","621","27941",,,,0,99,"Vel",0,"Velocity"
29,"Flow_CFS","Flow","CFS","Flow (cfs)","Flow",,,,,"FLOW_15-MINUTE_DATA","262","20","00060",,,0,90,"Flow",0,"StreamFlow"
30,"Salinity_ppt","Salinity","ppt","Salinity (ppt)","Sal","Sal",,"Sal ppt",,"PRACTICAL_SALINITY_PSS-15_POINT","806",,,"Temp/EC",20,1,5,"Sal",0,"Salinity"
31,"fDOM_QSU",,"QSU",,"fDom",,,"fDOM QSU",,,"3081",,,"fDOM",32,1,16,"fDOM",0,
32,"fDOM_RFU",,"RFU",,"fDomR",,,"fDOM RFU",,,,,,"fDOM",,1,15,"fDOM_",0,
33,"pH_mV","pH","mV","pH_mV","pHmV",,,"pH mV",,,,,,"pH",,0,8,"pH_",0,
34,"Barometer_mmHg",,"mmHg",,"Baro",,,"Barometer mmHg",,,,,,,,0,99,"Barometer",0,
35,"Salinity_psu","Salinity","psu","Salinity (psu)",,"Sal",,"Sal psu",,"PRACTICAL_SALINITY_PSS-15_POINT","806",,,"Temp/EC",20,1,6,"Sal",0,
36,"TidalFlow","Tidally Filtered Flow","CFS","Tidally Filtered Flow (cfs)","TidalFlow",,,,,,,,"72137",,,0,99,,0,
37,"Elevation","Elevation","ft","Elevation (ft)","Elevation",,,,,,"287",,,,,0,99,,0,
